Product_Name,Price,Ratings,Availability
"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|without Charger",12999,4.0,In stock
"Samsung Galaxy M34 5G (Midnight Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|without Charger",12999,4.0,NA
"Samsung Galaxy M14 5G (Berry Blue,4GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|8GB RAM with RAM Plus|Android 13|without Charger",11490,4.0,NA
"Samsung Galaxy F54 5G (Stardust Silver, 256 GB) (8 GB RAM)",22496,3.9,In stock
"Samsung Galaxy M15 5G (Blue Topaz,8GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED Display| without Charger",16999,3.7,NA
"Samsung Galaxy F15 5G (Groovy Violet, 6GB RAM, 128 GB Storage)",14499,3.9,Only 1 left in stock.
"Samsung Galaxy M15 5G (Celestial Blue,8GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery|MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update|Super AMOLED Display|Without Charger",15999,3.7,In stock
"Samsung Galaxy M14 5G (Smoky Teal,4GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|8GB RAM with RAM Plus|Android 13|without Charger",11490,4.0,NA
Samsung Galaxy F54 5G (Meteor Blue) (256 GB ROM) (8 GB RAM),22411,3.7,In stock
"Samsung F14 5G (OMG Black, 6GB RAM, 128GB Storage)",10599,3.9,In stock
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-grade Camera",16999,3.7,In stock
Things4BetterTempered Glass Screen Protector Compatible for Samsung Galaxy S SERIES 5G with Edge to Edge Coverage (SAMSUNG GALAXY S21 PLUS 5G),299,,In stock
"Samsung Galaxy M14 5G (Icy Silver,4GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|8GB RAM with RAM Plus|Android 13|without Charger",11490,4.0,NA
SAMSUNG Galaxy F14 5G 6GB RAM 128GB STORAGE (GOAT Green),10442,3.0,Only 1 left in stock.
"Samsung Galaxy M15 5G (Blue Topaz,6GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED Display| without Charger",14499,3.7,In stock
"Samsung Galaxy M15 5G (Celestial Blue,6GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery|MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update|Super AMOLED Display|Without Charger",14499,3.7,In stock
"Samsung Galaxy A15 5G (Blue, 8GB, 128GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery",19499,3.8,In stock
"Samsung Galaxy A55 5G (Awesome Iceblue, 12GB RAM, 256GB Storage) | Metal Frame | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",45999,3.8,In stock
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,12499,4.0,In stock
Amazon Basics 24 Watts Phone Charger for Type C Adapter with Charging Without Cable Easy to Carry Dual Output (White),599,3.6,In stock
Amazon Brand - Solimo Mobile Cover for Samsung Galaxy A14 5G (Polycarbonate_Black),189,4.1,In stock
Amazon Brand - Solimo Mobile Cover for Samsung Galaxy A73 5G (Polycarbonate_Matte Black),189,4.2,In stock
"RAEGR Arc 400 Pro 15W Type-C PD | Made in India | Qi-Certified Wireless Charger with Fireproof ABS for iPhone 15/14/13/12 Series, Galaxy S24/S23 Series, Pixel 8/7 Series, OnePlus 9/9 Pro -Matte Black",809,3.6,In stock
